article,service_catalog_item_id,name,folder_path,category,source_url,base_price,is_active,is_calculable,description_length,full_description_length,rules_parse_status,rules_parse_status_group,article_group_size,article_group_rank,duplicate_types,problem_reason,duplicate_kind,source_variant_count,full_description_preview
122464,2680e364-a5e2-44c3-8321-81526223dba9,"Крайкування кутів, радіусів стяжок мінім. ПУР (до 200мм)",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_uglov_radiusov_styazhek_minim_pur_do_200mm/,196.98,True,True,33,0,no_full_description,no_full_description,3,3,same_article_same_name_same_price,same_article_same_name_same_price,identical,1,
122465,2edec9f2-6f07-4089-af32-7d64aa9181d7,"Крайкування кутів, радіусів стяжок мінім. ПУР (до 200мм) (плит ВГ і ГТ)",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_uglov_radiusov_styazhek_minim_pur_do_200mm_plit_vg_i_gt/,234.96,True,True,33,0,no_full_description,no_full_description,2,1,same_article_same_name_same_price,same_article_same_name_same_price,identical,1,
122465,ef17aeb0-fec4-4969-bc9c-3e2147c007e1,"Крайкування кутів, радіусів стяжок мінім. ПУР (до 200мм) (плит ВГ і ГТ)",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_uglov_radiusov_styazhek_minim_pur_do_200mm_plit_vg_i_gt/,234.96,True,True,33,0,no_full_description,no_full_description,2,2,same_article_same_name_same_price,same_article_same_name_same_price,identical,1,
122466,005fa3ee-bb20-4b46-a537-3aa1db73e936,"Крайкування кутів, радіусів стяжок мінім. ПУР білим клеєм(до 200мм)",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_uglov_radiusov_styazhek_minim_pur_belym_do_200mm/,196.98,True,True,33,0,no_full_description,no_full_description,3,1,same_article_same_name_same_price,same_article_same_name_same_price,identical,1,
122466,a17c69a6-7920-453c-9de1-bc0ddf4e14c3,"Крайкування кутів, радіусів стяжок мінім. ПУР білим клеєм(до 200мм)",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_uglov_radiusov_styazhek_minim_pur_belym_do_200mm/,196.98,True,True,33,0,no_full_description,no_full_description,3,2,same_article_same_name_same_price,same_article_same_name_same_price,identical,1,
122466,5323b6e4-eeed-4b02-a467-245c134143ce,"Крайкування кутів, радіусів стяжок мінім. ПУР білим клеєм(до 200мм)",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_uglov_radiusov_styazhek_minim_pur_belym_do_200mm/,196.98,True,True,33,0,no_full_description,no_full_description,3,3,same_article_same_name_same_price,same_article_same_name_same_price,identical,1,
122467,4cd979a2-83a9-433f-85cd-35ff38f32691,"Крайкування кутів, радіусів стяжок мінім. ПУР білим клеєм(до 200мм) (плит ВГ і ГТ)",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_uglov_radiusov_styazhek_minim_pur_belym_do_200mm_plit_vg_i_gt/,234.96,True,True,33,0,no_full_description,no_full_description,2,1,same_article_same_name_same_price,same_article_same_name_same_price,identical,1,
122467,a0fd476b-0207-4e6c-8ee2-7d48b28b93ed,"Крайкування кутів, радіусів стяжок мінім. ПУР білим клеєм(до 200мм) (плит ВГ і ГТ)",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_uglov_radiusov_styazhek_minim_pur_belym_do_200mm_plit_vg_i_gt/,234.96,True,True,33,0,no_full_description,no_full_description,2,2,same_article_same_name_same_price,same_article_same_name_same_price,identical,1,
130923,50fdb033-ada3-45b1-af9a-3606016a5a58,"Крайкування кутів, радіусів ПУР металізованою крайкою",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kraykuvannya-kutiv-radiusiv-pur-metalizovanoyu-kraykoyu/,145.98,True,True,33,0,no_full_description,no_full_description,2,1,same_article_same_name_same_price,same_article_same_name_same_price,identical,1,
130923,6eb3fd46-dda6-4a97-a3c5-30a67d973ac3,"Крайкування кутів, радіусів ПУР металізованою крайкою",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kraykuvannya-kutiv-radiusiv-pur-metalizovanoyu-kraykoyu/,145.98,True,True,33,0,no_full_description,no_full_description,2,2,same_article_same_name_same_price,same_article_same_name_same_price,identical,1,
130939,4f715a27-b177-4dfa-904d-fb586088f74d,"Крайкування кутів, радіусів стяжок ПУР металізованою крайкою",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kraykuvannya-kutiv-radiusiv-styazhok-pur-metalizovanoyu-kraykoyu/,184.98,True,True,33,0,no_full_description,no_full_description,2,1,same_article_same_name_same_price,same_article_same_name_same_price,identical,1,
130939,25d4c472-11a0-420f-be4a-69e14d4b106e,"Крайкування кутів, радіусів стяжок ПУР металізованою крайкою",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kraykuvannya-kutiv-radiusiv-styazhok-pur-metalizovanoyu-kraykoyu/,184.98,True,True,33,0,no_full_description,no_full_description,2,2,same_article_same_name_same_price,same_article_same_name_same_price,identical,1,
131992,a5cdfd79-a9b1-460a-b71d-3cc1bd415348,Складний фрезерний різ в РС (плит ВГ/ ГТ),viyar-services/frezerovka,milling,https://viyar.ua/ua/catalog/slozhnyy-frezernyy-rez-v-rs-plit-vg-gt/,60.0,True,True,236,0,no_full_description,no_full_description,2,1,same_article_same_name_same_price,same_article_same_name_same_price,identical,1,
131992,42c72222-af81-429c-a013-90216510d737,Складний фрезерний різ в РС (плит ВГ/ ГТ),viyar-services/frezerovka,milling,https://viyar.ua/ua/catalog/slozhnyy-frezernyy-rez-v-rs-plit-vg-gt/,60.0,True,True,236,0,no_full_description,no_full_description,2,2,same_article_same_name_same_price,same_article_same_name_same_price,identical,1,
131994,98caf3e9-0180-46ea-ac0f-0d7e5f79e7ca,Складний фрезерний різ мінімальний (довжина до 450мм) (товщина від 28мм) (плит ВГ/ ГТ),viyar-services/frezerovka,milling,https://viyar.ua/ua/catalog/slozhnyy-frezernyy-rez-minimalnyy-dlina-do-450mm-tolshchina-ot-28mm-plit-vg-gt/,108.96,True,True,236,181,parsed,parsed,2,1,same_article_same_name_same_price,same_article_same_name_same_price,identical,1,Опис Опис: Складне фрезерування мінімальної довжини для плит ВГ/ГТ товщиною від 28 мм. Обмеження: Аналогічні стандартному складному фрезерному різу. Обладнання: Обробний центр з ЧПК
131994,4cad1c66-9046-482c-ae55-dbdb87ce722f,Складний фрезерний різ мінімальний (довжина до 450мм) (товщина від 28мм) (плит ВГ/ ГТ),viyar-services/frezerovka,milling,https://viyar.ua/ua/catalog/slozhnyy-frezernyy-rez-minimalnyy-dlina-do-450mm-tolshchina-ot-28mm-plit-vg-gt/,108.96,True,True,236,181,parsed,parsed,2,2,same_article_same_name_same_price,same_article_same_name_same_price,identical,1,Опис Опис: Складне фрезерування мінімальної довжини для плит ВГ/ГТ товщиною від 28 мм. Обмеження: Аналогічні стандартному складному фрезерному різу. Обладнання: Обробний центр з ЧПК
148588,7fdd9e32-3fec-4c78-a77d-5a0b0328981a,Кромкування зрізу під 45 °,viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_sreza_pod_45/,237.96,True,True,33,753,parsed,parsed,3,1,same_article_same_name_same_price,same_article_same_name_same_price,identical,1,Опис Опис: Обклеювання торців деталей зі зрізом 45 градусів. Обмеження: Мінімальний розмір деталі для зрізу з крайкою: 300×100 мм (довжина×ширина); можливе зменшення довжини до 250 мм через креслення. Максимальні розміри деталі: довжина 2700 мм при ширині від 100 до 500 мм; можливе збільшення ширини
148588,853a1921-971c-4d99-a490-d067ef606155,Кромкування зрізу під 45 °,viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_sreza_pod_45/,237.96,True,True,33,753,parsed,parsed,3,2,same_article_same_name_same_price,same_article_same_name_same_price,identical,1,Опис Опис: Обклеювання торців деталей зі зрізом 45 градусів. Обмеження: Мінімальний розмір деталі для зрізу з крайкою: 300×100 мм (довжина×ширина); можливе зменшення довжини до 250 мм через креслення. Максимальні розміри деталі: довжина 2700 мм при ширині від 100 до 500 мм; можливе збільшення ширини
148588,fc04e9b4-9d2c-4c97-a95c-28d6f422fba9,Кромкування зрізу під 45 °,viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_sreza_pod_45/,237.96,True,True,33,753,parsed,parsed,3,3,same_article_same_name_same_price,same_article_same_name_same_price,identical,1,Опис Опис: Обклеювання торців деталей зі зрізом 45 градусів. Обмеження: Мінімальний розмір деталі для зрізу з крайкою: 300×100 мм (довжина×ширина); можливе зменшення довжини до 250 мм через креслення. Максимальні розміри деталі: довжина 2700 мм при ширині від 100 до 500 мм; можливе збільшення ширини
151235,82d3456f-d891-4042-87b3-bb4be0dd42b2,Крайкування зрізу під 45° білим клеєм,viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/krayka-sreza-pod-45-belym-kleem/,237.96,True,True,33,775,parsed,parsed,2,1,same_article_same_name_same_price,same_article_same_name_same_price,identical,1,"Опис Опис: Аналогічне до коду 148588, але виконується з використанням білого клею. Обмеження: Мінімальний розмір деталі для зрізу з крайкою: 300×100 мм (довжина×ширина); можливе зменшення довжини до 250 мм через креслення. Максимальні розміри деталі: довжина 2700 мм при ширині від 100 до 500 мм; мож"
151235,f61226f7-dcf2-4927-b2e6-b90ed552c543,Крайкування зрізу під 45° білим клеєм,viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/krayka-sreza-pod-45-belym-kleem/,237.96,True,True,33,775,parsed,parsed,2,2,same_article_same_name_same_price,same_article_same_name_same_price,identical,1,"Опис Опис: Аналогічне до коду 148588, але виконується з використанням білого клею. Обмеження: Мінімальний розмір деталі для зрізу з крайкою: 300×100 мм (довжина×ширина); можливе зменшення довжини до 250 мм через креслення. Максимальні розміри деталі: довжина 2700 мм при ширині від 100 до 500 мм; мож"
160042,470a30af-4bce-4e03-89c6-b7653adc0717,"Складний фрезерний різ мінімальний ""Lamello"" (плит ВГ/ГТ)",viyar-services/frezerovka,milling,https://viyar.ua/ua/catalog/slozhnyy-frezernyy-rez-minimalnyy-lamello-plit-vg-gt/,87.96,True,True,236,189,parsed,parsed,2,1,same_article_same_name_same_price,same_article_same_name_same_price,identical,1,"Опис Опис: Послуга фрезерування необхідна для встановлення фурнітури від компанії ""Lamello"". Обмеження: Відповідність вимогам для монтажу фурнітури Lamello. Обладнання: Обробний центр з ЧПК"
160042,e55a4ee9-0f20-407a-af97-93adfe1e529c,"Складний фрезерний різ мінімальний ""Lamello"" (плит ВГ/ГТ)",viyar-services/frezerovka,milling,https://viyar.ua/ua/catalog/slozhnyy-frezernyy-rez-minimalnyy-lamello-plit-vg-gt/,87.96,True,True,236,189,parsed,parsed,2,2,same_article_same_name_same_price,same_article_same_name_same_price,identical,1,"Опис Опис: Послуга фрезерування необхідна для встановлення фурнітури від компанії ""Lamello"". Обмеження: Відповідність вимогам для монтажу фурнітури Lamello. Обладнання: Обробний центр з ЧПК"
